class,collection,lead_days,transit_days,moq_step
Art Prints,,,,
Pillows,,90,15,10
Pillows,Collegiate,60,,25
Glasses,,,,
Dish Towels,,90,60,50
Decals,,,,
Tumbler 24 oz,,,,
Totes,,60,60,50
Tote Decal,,,,
Mini Pillows,,60,45,25
Pouches,,60,45,25
Denim Totes,,60,60,50
Denim Tote Decal,,,,
Thermal Bottles,,,,
XL Pillows,,,,
T-Shirt,,,,
Toon Decal,,,,
Sweatshirt,,,,
Marketing Materials,,,,
Trays,,,,
Displays,,,,
Bandanas,,,,
White Tumbler 24 oz,,,,
Printed Pillow,,,,
Pillow Forms,,,,
Throws,,,,
Beach Towel,,,,
HGM Pillow,,,,
Mugs,,,,
White Thermal Bottle,,,,
Paperweight,,,,
Poster,,,,
Frames,,,,
Journals,,,,
Postcards,,,,
Gift Notes,,,,
Shotglasses,,15,30,1000
